feature,gain,split
INS_18M_PAYMENT_DIFFERENCE_MEAN,5421.9012836456295,217.2
APARTMENTS_AVG,5399.631506061554,271.4
INS_36M_SK_ID_PREV_SIZE,5357.2291520118715,274.4
APPROVED_DAYS_FIRST_DUE_MEAN,5338.5814962387085,281.2
INS_18M_SK_ID_PREV_SIZE,5306.823072242737,266.6
BUREAU_LL_STATUS_12345_MEAN,5303.292872428894,286.2
INS_36M_AMT_PAYMENT_MEAN,5302.208368778229,270.4
PREV_DAYS_DECISION_MIN,5292.280576705933,255.0
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,5258.6324275970455,239.6
INS_36M_AMT_PAYMENT_MAX,5233.101102638245,246.0
INS_18M_AMT_PAYMENT_MEAN,5223.6476396560665,267.6
REFUSED_APPLICATION_CREDIT_DIFF_VAR,5213.911716842651,240.2
APPROVED_HOUR_APPR_PROCESS_START_MAX,5166.533413696289,245.4
BUREAU_CREDIT_ACTIVE_Active_MEAN,5160.151438999176,222.4
PREV_DOWN_PAYMENT_TO_CREDIT_MEAN,5155.418108081818,276.2
REFUSED_DAYS_DECISION_MEAN,5154.529265594482,249.6
LIVINGAREA_MEDI,5144.319830131531,246.0
APPROVED_DAYS_DECISION_MEAN,5137.454814052582,253.6
BUREAU_LAST36M_AMT_CREDIT_MAX_OVERDUE_MAX,5092.803234767914,212.0
INS_36M_AMT_INSTALMENT_SUM,5070.1666843414305,247.2
PREV_LAST24M_AMT_ANNUITY_MAX,5061.855805015564,271.0
INS_AMT_INSTALMENT_MAX,5031.090568065643,246.0
PREV_Cash_AMT_ANNUITY_MAX,5005.991268062591,272.4
PREV_ACTIVE_REPAYMENT_RATIO_MEAN,5002.965533828736,244.4
PREV_LAST12M_DAYS_LAST_DUE_1ST_VERSION_MIN,5000.559563350677,255.0
INS_AMT_PAYMENT_MEAN,4994.114185333252,251.2
BUREAU_LAST24M_DEBT_PERCENTAGE_MEAN,4972.871317386627,223.2
APPROVED_AMT_GOODS_PRICE_MAX,4967.434048461914,247.4
INS_36M_AMT_INSTALMENT_MEAN,4963.380941104889,252.8
PREV_Cash_AMT_CREDIT_SUM,4962.577285385132,254.2
INS_18M_AMT_PAYMENT_MAX,4917.399174690247,252.0
BUREAU_LAST6M_DEBT_CREDIT_DIFF_MEAN,4898.423553180694,259.2
YEARS_BEGINEXPLUATATION_MEDI,4894.331374359131,257.4
LAST_LOAN_LATE_PAYMENT_count,4874.391529655457,253.4
APPROVED_DAYS_LAST_DUE_DIFF_MAX,4870.675195884704,252.6
INS_PAYMENT_DIFFERENCE_MEAN,4868.856331634522,230.0
PREV_APPLICATION_CREDIT_RATIO_MIN,4867.938832855225,236.0
BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,4858.981615257263,240.6
